LCCS,artificial,sol_nu_tot,bois_total,agricol_to,espace_ouv,eau_perman,layer
190,13.999,7.345,27.828,24.280,18.932,4.102,Terril de la cokerie stat 1
190,6.123,15.587,21.652,30.344,19.474,3.788,terril de la cokerie stat 2
